movie_title,genre,n,accuracy,mean_confidence,mean_proxy_ratio,median_proxy_ratio,mean_dist_v0_v1,mean_dist_v0_v2
Toy Story,Animation,6,1.0,0.731058573739949,1.0578328563568644,1.0578328563568644,31.769622802734375,30.032743453979492
Rocky,Action,5,1.0,0.7431679988546758,1.0315377369623793,1.0315377369623793,33.68962097167969,32.659610748291016
Star Trek: The Wrath of Khan,Action,5,1.0,0.754914989238764,1.0238112256065977,1.0238112256065977,28.243515014648438,27.58664321899414
Toy Story 2,Animation,7,1.0,0.7185943982824885,1.0190327633450598,1.0190327633450598,27.385156631469727,26.873676300048828
Tron,Action,5,1.0,0.754914989238764,1.0165432495475395,1.0165432495475395,32.66045379638672,32.128936767578125
Ferris Bueller's Day Off,Comedy,6,1.0,0.754914989238764,1.0090385001678812,1.0090385001678812,39.47891616821289,39.125282287597656
Timecop,Action,5,1.0,0.731058573739949,1.0089964729520495,1.0089964729520495,31.057050704956055,30.78013801574707
Raiders of the Lost Ark,Action,5,1.0,0.718594382893228,1.0068366988477193,1.0068366988477193,29.693317413330078,29.49169158935547
Saving Private Ryan,Action,8,1.0,0.7185943982824885,1.0064141463917973,1.0064141463917973,34.698341369628906,34.47719955444336
Die Hard,Action,6,1.0,0.7662936356289386,1.0023685434516403,1.0023685434516403,34.881935119628906,34.79951095581055
Mad Max,Action,5,1.0,0.7057850321820706,0.9980888136011623,0.9980888136011623,34.410743713378906,34.47663497924805
"Godfather, The",Action,5,1.0,0.7185943982824885,0.997547266139839,0.997547266139839,21.247373580932617,21.29961585998535
Pulp Fiction,Crime,5,1.0,0.7057850321820706,0.9946170229846526,0.9946170229846527,36.555362701416016,36.753204345703125
"Shawshank Redemption, The",Drama,9,1.0,0.7185943982824885,0.99422591677049,0.99422591677049,19.931270599365234,20.04702377319336
Predator,Action,5,1.0,0.754914989238764,0.976937385194803,0.976937385194803,30.802635192871094,31.529794692993164
Star Wars: Episode VI - Return of the Jedi,Action,5,1.0,0.7057850321820706,0.9545776819513234,0.9545776819513234,15.394817352294922,16.12735939025879
"South Park: Bigger, Longer and Uncut",Animation,5,1.0,0.7185943982824885,0.9441018837020664,0.9441018837020665,28.069517135620117,29.731449127197266
"Untouchables, The",Action,8,1.0,0.718594382893228,0.9064949946378578,0.9064949946378578,21.819169998168945,24.0698184967041
