movie_title,genre,n,accuracy,mean_confidence,mean_proxy_ratio,median_proxy_ratio,mean_dist_v0_v1,mean_dist_v0_v2
"Good, The Bad and The Ugly, The",Action,6,1.0,0.7431679988546757,32.7781409436999,32.7781409436999,60.24116516113281,1.8378456830978394
"Hunt for Red October, The",Action,7,1.0,0.7057850321820706,24.63034187235061,24.63034187235061,49.425132751464844,2.00667667388916
"Iron Giant, The",Animation,5,0.8,0.7057850321820706,1.4103579698927184,1.4103579698927184,53.59794998168945,38.003082275390625
Encino Man,Comedy,5,1.0,0.7185943982824885,1.2961779348796738,1.2961779348796738,64.24980926513672,49.56866455078125
Indiana Jones and the Last Crusade,Action,6,0.6666666666666666,0.7185943982824886,1.292985576534408,1.292985576534408,51.1282958984375,39.54281997680664
"Godfather, The",Action,11,0.9090909090909091,0.7185943982824885,1.2795498200883013,1.2795498200883013,63.07718276977539,49.29638671875
Rocky,Action,6,0.8333333333333334,0.7431679988546757,1.2750174369790481,1.2750174369790481,64.85174560546875,50.86341857910156
Batman,Action,8,0.75,0.718594382893228,1.2080416561904648,1.2080416561904648,61.08894729614258,50.56857681274414
Predator,Action,9,0.8888888888888888,0.754914989238764,1.1490931984074317,1.1490931984074317,62.20582962036133,54.13471221923828
"Shawshank Redemption, The",Drama,14,0.7857142857142857,0.7185943982824885,1.1420457106129838,1.1420457106129838,63.36234664916992,55.4814453125
Red Dawn,Action,5,0.8,0.7185943982824885,1.1298523165951597,1.1298523165951597,58.40031051635742,51.688446044921875
Army of Darkness,Action,5,1.0,0.7431679988546758,1.0931451673572208,1.0931451673572208,59.00400161743164,53.97636413574219
Three Kings,Drama,5,1.0,0.7185943982824885,1.0825781078500984,1.0825781078500984,53.88526916503906,49.77494812011719
Die Hard,Action,8,0.75,0.7662936356289387,1.0691181181206275,1.0691181181206275,66.98461151123047,62.65407943725586
"Jungle Book, The",Adventure,5,0.4,0.754914989238764,1.0650604087370283,1.0650604087370283,53.79227066040039,50.506309509277344
Patriot Games,Action,7,0.8571428571428571,0.7431679988546758,1.0631543458276198,1.0631543458276198,63.72202682495117,59.93675994873047
Swingers,Comedy,10,1.0,0.7431679988546758,1.062125157470953,1.062125157470953,59.75642776489258,56.261192321777344
Independence Day (ID4),Action,9,0.8888888888888888,0.718594382893228,1.0618234456582643,1.0618234456582643,43.652400970458984,41.11079025268555
"Untouchables, The",Action,13,0.8461538461538461,0.718594382893228,1.0565772547992731,1.0565772547992731,58.96581268310547,55.80833053588867
Timecop,Action,6,1.0,0.731058573739949,1.0559288275712861,1.0559288275712861,58.25200653076172,55.166603088378906
Pee-wee's Big Adventure,Comedy,5,1.0,0.7431679988546758,1.0463927517764136,1.0463927517764136,56.49381637573242,53.989112854003906
Judge Dredd,Action,5,1.0,0.731058573739949,1.0358254935018716,1.0358254935018716,58.33727264404297,56.31959533691406
Toy Story 2,Animation,15,0.7333333333333333,0.7185943982824885,1.0283636412527108,1.0283636412527108,61.44380569458008,59.74910354614258
Deliverance,Adventure,5,0.8,0.7057850321820706,1.0234856959503156,1.0234856959503156,55.93497848510742,54.651451110839844
Con Air,Action,9,0.5555555555555556,0.718594382893228,1.0187543909267198,1.0187543909267198,67.10741424560547,65.87202453613281
Galaxy Quest,Adventure,10,0.6,0.7431679988546758,1.0134811212812704,1.0134811212812704,46.148155212402344,45.5343017578125
Star Trek: The Wrath of Khan,Action,10,0.9,0.754914989238764,1.0097745566039462,1.0097745566039462,54.132389068603516,53.60839080810547
"Honey, I Shrunk the Kids",Adventure,5,0.8,0.7185943982824885,1.0076489419235315,1.0076489419235315,55.15995788574219,54.74124526977539
Pulp Fiction,Crime,7,1.0,0.7057850321820706,1.0076054933556775,1.0076054933556775,52.379215240478516,51.98385238647461
Batman & Robin,Action,6,1.0,0.731058573739949,1.0074029317749043,1.0074029317749043,55.69273376464844,55.28347396850586
Payback,Action,5,0.8,0.731058573739949,1.006756744564827,1.006756744564827,49.78422164916992,49.45009994506836
Who Framed Roger Rabbit?,Adventure,8,0.875,0.718594382893228,1.0066944229721184,1.0066944229721184,58.815433502197266,58.42431640625
Fargo,Crime,13,0.7692307692307693,0.7057850321820707,1.0054081509479795,1.0054081509479795,52.92859649658203,52.643890380859375
Dr. No,Action,5,0.6,0.7057850321820706,1.003593792984792,1.003593792984792,56.11271286010742,55.91177749633789
"Patriot, The",Action,5,0.6,0.754914989238764,1.0030327034377176,1.0030327034377176,48.85936737060547,48.711639404296875
American Graffiti,Comedy,7,0.7142857142857143,0.7057850321820706,1.0028534296562883,1.0028534296562883,59.11933517456055,58.95112228393555
Speed,Action,8,0.75,0.7185943982824885,1.0022751302079713,1.0022751302079713,57.019657135009766,56.89022445678711
Dragonheart,Action,5,0.4,0.7431679988546758,1.0019276357830007,1.0019276357830007,55.83864974975586,55.73122024536133
Superman II,Action,5,1.0,0.731058573739949,1.0017732807737365,1.0017732807737365,48.79619216918945,48.709815979003906
Repo Man,Comedy,5,1.0,0.718594382893228,1.001718446692968,1.001718446692968,44.64010238647461,44.56352233886719
Starship Troopers,Action,7,1.0,0.731058573739949,1.0017018382113971,1.0017018382113971,53.3468017578125,53.256168365478516
"South Park: Bigger, Longer and Uncut",Animation,7,0.8571428571428571,0.7185943982824885,1.0016534346767467,1.0016534346767467,64.33683776855469,64.23063659667969
Bull Durham,Comedy,5,1.0,0.7057850173365652,1.0011368212426688,1.0011368212426688,59.86780548095703,59.79982376098633
Fight Club,Drama,6,0.8333333333333334,0.7057850321820706,1.0009822247557116,1.0009822247557116,50.92684555053711,50.87687301635742
